issuance_week_id,referrer,referee
117,0x46468e10461550c5422477c046ee6458cd2c6bef,0xc64098c927f905fefaf3c4286ca58b2630bcb1b3
117,0x86ccd7397becfb2fd48ed9fa872c39df1003df73,0xf966f6d078f64848092b4c723018dcaf4b052de9
118,0x2fc69a9bb63af6d411f3ddaa588a1e1283b3d21e,0x863d79b03daf7961ea364549295719bd6707cd2a
118,0x7ec7b9d88971831a9b65e623fa4530341deca26c,0xbd22ed602ff6623a7f2975b7ec160431e9b6590b
118,0xaf308e45d4691d0db0914553e2c71c9546387077,0x0e141aa09373662478dec6c6dea4478a8b39e3cf
119,0x00f0d98680e7607085626b83e40647458b7c4e2e,0xada32f65cd6ffaebf88bfbc04d4bb0023915898b
119,0x00f0d98680e7607085626b83e40647458b7c4e2e,0xc19d4523e2d60bc4b91f6e97a1f462ecffed7e74
119,0x00f0d98680e7607085626b83e40647458b7c4e2e,0xd3059e82c42edfcd2749cf2841be5e209b72bddd
119,0x01c72060b5b1a4b9ea4218867189c41f70399d68,0x630edea7e1fbf17d1b5cb1cd5a52ff11d8e5966c
119,0x03024f7e1a6efe610de95b1aa746c86d54ec7c11,0x0ef2064fc54cf3958b075e959369d4badb26911c
119,0x03024f7e1a6efe610de95b1aa746c86d54ec7c11,0xc83f42658a4654f85618abb5d36370eafa491ad6
119,0x0372c482f9a28cc09383048bdb25b0a22b983e30,0x1663d9d5a21f870a8ca901c8c42f7adb3b450f92
119,0x0391ba8cbd5ee434aa9c6cb54e827d9e4e8cd9f8,0x2cdc67bbb51fbffb446abbe84cec1b876acbdf9e
119,0x03cad17047d7a5df019dac890151dce00e244d82,0xf1a862ab2b4b5665b3512c2a95d9be9450aff1ea
119,0x04720603c9edafd8ff2676c0d3d603fc05f0cbcc,0x3507335136e5b049ed64384e0a9fb25bb1f6d37d
119,0x05bbc0718b18bf7a670023ace03e70706ed1e504,0xb9255930adab4d41871180d8a604b55405751c40
119,0x073f834b6bf39d08e2c0598141343ed3bb672adc,0x8e3634d433bb9eee49422739bd9730f910228b9c
119,0x089112a1d750d6df9726a7fcfbd166c241a05f24,0x7386f533b6ffc49b1a07d882ad74f2af106c5b0f
119,0x09789283724df030fa8fc3ec89a8ac865d175386,0x8028b000ab90da10ac1ad447035bc43c91dde234
119,0x0bdc8bdc483b0857a90536d8724e1968a69f83a8,0x6dcf7568c316a184cf0850b42dda8a99f045cdd4
119,0x0bdc8bdc483b0857a90536d8724e1968a69f83a8,0x9e9ce8cb7e7006bbfb242a3cecdaa0b5d7e69501
119,0x0bdc8bdc483b0857a90536d8724e1968a69f83a8,0xb989ee481e00fb612c47f0728d176a77925c361d
119,0x0db21d2eb5a27ef9923367062fa691c1b295d396,0xd3acb0aced276601311c551b8f53776acb87afd0
119,0x0db21d2eb5a27ef9923367062fa691c1b295d396,0xefa6a9e2ed441e7196b8b03f2503bafba13aecb2
119,0x0f4cca2eaf5164d1e9cd857f7a928dfbfe4e4447,0x91815420718188dece6f60ed14562ff4ecf7eb09
119,0x106c199798eeae13f468c53741a710acb9ad5d62,0xd3809a3ad94cecbde53b4d1396507317a6f99d4b
119,0x118943172070fe2987005a3d657b6780cf42d983,0x76e7b6d80dc5d56aec6bacab1086af67a3677784
119,0x118f5b160957365f62e6dd084ec516ebc3c1f9c5,0xda830ead2b37d5a373d4413048a8895076929602
119,0x11f298bc41682340c129ae8936e7f1526bf1dbb1,0x4091b694e0b5e87a099b47bcca48c6a2cc41f975
119,0x12b86f3e915ae8489e0972c398f1016e9138ca2d,0x28d4953291420af5c9065483fb4853b67961ad1e
119,0x12b86f3e915ae8489e0972c398f1016e9138ca2d,0x5c936e8edc5b3f39bda2e6e5c50a42cd1860436f
119,0x12b86f3e915ae8489e0972c398f1016e9138ca2d,0x77aca1d68a7b1dd4f677f270bf2b47a8cbe34bea
119,0x14b17aa76f25b393dd8adbf4011e50f551655bfe,0x5d4ed1328763e700922b511893e4cb12a7ab9640
